"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"1587","2020-03-07","Americas",363.095238095238,464788.840984177,449,556338.73299238,146937.276638233,3750587.94373815
"1589","2020-03-07","Oceania",21.3809523809524,20088.6479687351,68,26510.1547209219,3136.5162786263,119909.299918025
"1590","2020-03-07","Europe",3747.09523809524,900013.745523893,9862,6765825.64183872,3840321.94694134,11965946.1010158
"1602","2020-03-07","Africa",22.952380952381,197014.147487288,43,274220.471344747,243.264536962203,16071227.2774078
"1675","2020-03-08","Asia",1555.61904761905,695147.259727798,96772,68189988.8525333,39383441.6808812,130887818.53803
"1677","2020-03-08","Americas",500.571428571429,543466.364806567,605,885754.916633796,280239.354267544,4808753.48052072
"1679","2020-03-08","Oceania",27.2857142857143,23365.082017255,81,41176.8547226651,7479.30631092177,155632.135783618
"1680","2020-03-08","Europe",4404.42857142857,960369.040119279,12383,7807671.68072771,4546635.67690782,13455228.6755568
"1694","2020-03-08","Africa",28.5238095238095,233679.247150222,83,406409.633857539,386.498486271478,18668030.8717393
"1770","2020-03-09","Asia",1611.33333333333,734073.711695482,97673,68815182.9375596,39700317.6566747,134213043.662636
"1771","2020-03-09","Europe",5310.90476190476,1017943.43569052,15320,8915111.54574966,5316173.95297767,15016505.4468101
"1773","2020-03-09","Americas",738.809523809524,627170.526396357,694,1323414.11273952,471379.4721975,6065130.88741614
"1775","2020-03-09","Oceania",33.0952380952381,26826.3622494093,96,60511.1819903507,14303.0055750386,198606.72315324
"1791","2020-03-09","Africa",37.0952380952381,274031.808566305,91,573615.864681575,628.78631362667,21395512.4199521
"1868","2020-03-10","Europe",6265.57142857143,1071890.13913864,18897,10083806.711325,6144623.10205231,16644467.5521935
"1869","2020-03-10","Asia",1681.85714285714,779731.656563179,98842,69488654.1946148,40013887.4300159,137699204.438158
"1872","2020-03-10","Americas",1071.47619047619,715568.894910808,917,1885394.38943161,727213.962380714,7548121.71856944
"1874","2020-03-10","Oceania",38.8571428571429,30446.9737392902,112,85029.8268298114,24112.5594852811,269772.5232856
"1878","2020-03-10","Africa",46,317977.299136836,104,796267.816829853,1599.89620255301,24378387.6258006
"1969","2020-03-11","Asia",1731.71428571429,832821.325305426,100593,70215927.304114,40326467.153573,141340311.36932
"1970","2020-03-11","Europe",7274.90476190476,1121698.1837113,24332,11310999.3980012,7029013.01398014,18333848.7774681
"1972","2020-03-11","Americas",1404.66666666667,808359.055776007,1386,2580030.96224669,1056055.22800088,9216334.80668728
"1974","2020-03-11","Oceania",52.3333333333333,34205.7887557015,133,115282.186315215,37472.4024554264,347186.267025896
"1978","2020-03-11","Africa",55.6666666666667,366430.905372508,118,1073370.37152498,4092.32396032891,27594850.1158025
"2076","2020-03-12","Europe",8174.2380952381,1166615.83810846,28252,12592561.6422681,7964357.09505163,20070349.9888914
"2077","2020-03-12","Asia",1807.2380952381,893008.185949538,101951,71003776.3846264,40639636.6440277,145140934.464169
"2080","2020-03-12","Americas",1892.33333333333,905039.133252443,1856,3416971.24292234,1464385.06046734,11045280.5273958
"2082","2020-03-12","Oceania",77.4285714285714,38078.9260564236,133,151668.265284523,54771.2910053856,430782.56488136
"2086","2020-03-12","Africa",68.2380952380952,417996.077030154,134,1413524.39088709,10137.0910976044,31025448.6051483
"2184","2020-03-13","Americas",2476.19047619048,1005286.41965425,2711,4405499.77140504,1960174.86189168,13041439.6863555
"2185","2020-03-13","Asia",1889.33333333333,960038.200932018,103773,71856825.0450486,40955042.4844343,149082968.236443
"2186","2020-03-13","Europe",9424.33333333333,1206005.72575416,39770,13922774.8969394,8946203.58515812,21844346.1773994
"2191","2020-03-13","Oceania",83.6666666666667,42015.0935875424,205,194290.3738248,76439.151865234,520687.543681159
"2195","2020-03-13","Africa",86.1904761904762,473166.703420057,177,1815823.07472503,20475.7457735884,34469929.9774925
"2300","2020-03-14","Americas",3043.33333333333,1107604.23377206,3529,5541937.65563273,2550267.31898094,15194712.3605453
"2301","2020-03-14","Asia",1977.7619047619,1033636.35142498,105694,72779912.2256874,41276274.9955214,153157981.134716
"2302","2020-03-14","Europe",10558.9523809524,1239320.89415614,47896,15295106.5284959,9969402.57149674,23643081.3300072
"2307","2020-03-14","Oceania",103.047619047619,45939.1969416856,256,242840.117837731,102732.007344227,616650.574556677
"2311","2020-03-14","Africa",106.619047619048,531176.14491969,254,2284607.15473788,36449.6990532609,37985743.8045695
"2428","2020-03-15","Americas",3685.04761904762,1210191.82198213,3836,6816668.00360305,3239497.13350374,17488301.9450724
"2429","2020-03-15","Asia",2176.61904761905,1114207.21703218,107657,73781943.0666085,41607425.7841913,157343969.179393
"2430","2020-03-15","Europe",11982.619047619,1266089.97591557,56705,16702241.3356562,11027738.0686232,25459686.919866
"2435","2020-03-15","Oceania",120,49796.3569092159,305,297160.836919311,133909.378625216,718521.060502159
"2439","2020-03-15","Africa",131.047619047619,590801.608497811,313,2829525.88758239,59315.5758125976,41634453.7228806
"2560","2020-03-16","Americas",4625.95238095238,1311417.87811439,5648,8224240.63925646,4023139.67843647,19909133.5110666
"2561","2020-03-16","Asia",2378.52380952381,1201521.35678341,109321,74867100.550068,41957714.5278836,161620772.562092
"2562","2020-03-16","Europe",13619.6666666667,1286106.56086754,67646,18136232.7038557,12115684.0205057,27278783.6663937
"2567","2020-03-16","Oceania",144.809523809524,53539.0263621344,385,357027.489973809,170107.538558814,826025.333056021
"2571","2020-03-16","Africa",157.238095238095,651532.071465957,400,3445696.75581233,90258.2849770405,45330086.7656204
"2698","2020-03-17","Americas",5608.80952380952,1409765.42352767,7653,9760565.66066771,4898792.07084896,22439964.1212393
"2699","2020-03-17","Asia",2616.61904761905,1295891.36763878,111314,76045165.0412879,42335355.6288117,166060035.833931
"2700","2020-03-17","Europe",15241.2380952381,1299538.46755164,79091,19586322.2871537,13226405.7420866,29087188.7918661
"2705","2020-03-17","Oceania",164.428571428571,57087.2348928223,464,421861.607343438,210786.850647668,938575.159055936
"2709","2020-03-17","Africa",182.952380952381,712148.100030016,484,4137297.09723304,131393.514462022,48971179.6130118
"2839","2020-03-18","Americas",6680.80952380952,1503086.81552569,10541,11412793.6609379,5861691.69002745,25068236.4858147
"2840","2020-03-18","Asia",2881.14285714286,1396772.86972305,113432,77316280.2377123,42747761.3276591,170574083.687515
"2841","2020-03-18","Europe",16885.1428571429,1306861.93043337,93058,21050351.3843415,14357104.2966891,30879918.3347495
"2846","2020-03-18","Oceania",191.857142857143,60318.7893078821,588,490666.722362355,255106.647323352,1055187.84409974
"2850","2020-03-18","Africa",199.142857142857,773320.714329707,601,4907264.19015466,185048.707927225,52649748.2101322
